"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"177","Tyrie Cleveland (FA)","9","0","6","63","10.5","0","0","0","0","0","0","10","6.3","0.6","0.0%"
"178","Ja'Marcus Bradley (FA)","11","0","5","60","12.0","1","0","0","0","0","0","3","6.0","2.0","0.0%"
"179","Steven Mitchell Jr. (FA)","8","0","5","60","12.0","1","0","0","0","0","0","6","6.0","1.0","0.0%"
"180","Jaydon Mickens (FA)","10","0","7","58","8.3","0","0","0","0","0","0","10","5.8","0.6","0.0%"
"181","Nick Westbrook-Ikhine (MIA)","8","1.6","3","33","11.0","0","0","0","0","0","0","14","5.3","0.4","1.0%"
"182","KJ Hill Jr. (FA)","11","0","7","73","10.4","1","0","0","0","0","1","15","5.3","0.4","0.0%"
"183","Isaiah Zuber (FA)","2","0","2","29","14.5","0","0","2","21","0","0","4","5.0","1.3","0.0%"
"184","Trent Sherfield Sr. (NE)","7","1.6","5","50","10.0","1","0","0","0","0","0","15","5.0","0.3","0.0%"
"185","River Cracraft (FA)","9","0","6","41","6.8","0","0","0","0","0","0","9","4.1","0.5","0.0%"
"186","Ted Ginn Jr. (FA)","6","0","3","40","13.3","1","0","0","0","0","0","5","4.0","0.8","0.0%"
"187","Riley Ridley (FA)","4","0","4","39","9.8","0","0","0","0","0","0","5","3.9","0.8","0.0%"
"188","Robert Foster (FA)","6","0","2","37","18.5","1","0","0","0","0","0","4","3.7","0.9","0.0%"
"189","Brandon Zylstra (FA)","4","0","3","35","11.7","1","0","1","1","0","0","16","3.6","0.2","0.0%"
"190","Terry Godwin (FA)","6","0","3","32","10.7","1","0","1","3","0","0","3","3.5","1.2","0.0%"
"191","Lawrence Cager (WAS)","6","1","2","35","17.5","0","0","0","0","0","0","2","3.5","1.8","0.0%"
"192","Seth Roberts (FA)","6","0","4","31","7.8","0","0","0","0","0","0","7","3.1","0.4","0.0%"
