"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Raheim Sanders","CLE","14.0","56.0","0.5","1.5","11.5","0.0","0.0","9.8"
"Dare Ogunbowale","HOU","4.0","31.1","0.1","5.3","39.9","0.2","0.0","8.3"
"Nathan Carter","ATL","9.3","39.1","0.3","2.1","14.2","0.1","0.1","7.6"
"Patrick Ricard","BAL","4.1","11.5","0.1","3.4","27.3","0.5","0.0","7.4"
"Terrell Jennings","NE","4.8","20.1","0.1","3.8","29.1","0.2","0.0","6.7"
"Eric Gray","NYG","11.8","42.6","0.2","1.9","14.3","0.1","0.5","6.0"
"Bam Knight","ARI","4.6","19.5","0.1","3.1","22.5","0.1","0.0","5.8"
"Rasheen Ali","BAL","5.2","33.4","0.1","1.4","10.2","0.1","0.0","5.1"
"Hunter Luepke","DAL","4.2","14.3","0.1","3.9","26.6","0.1","0.0","4.9"
"Dylan Laube","LV","4.0","29.4","0.1","2.0","14.5","0.0","0.0","4.7"
"Deuce Vaughn","DEN","0.0","31.0","0.0","1.0","8.0","0.0","0.0","3.9"
"Carlos Washington Jr.","ATL","0.0","30.0","0.0","1.0","7.0","0.0","0.0","3.7"
"Velus Jones Jr.","SEA","2.4","10.5","0.1","1.8","13.3","0.1","0.0","3.4"
"Michael Carter","ARI","0.0","21.0","0.0","1.5","11.0","0.0","0.0","3.2"
"Audric Estime","NO","0.0","20.0","0.0","1.0","6.0","0.0","0.0","2.6"
"Josh Williams","TB","4.5","18.8","0.1","0.0","0.0","0.0","0.0","2.6"
"Damien Martinez","GB","0.0","17.0","0.0","1.0","7.0","0.0","0.0","2.4"
"Pierre Strong Jr.","GB","0.0","12.5","0.0","1.0","7.5","0.0","0.0","2.0"
"Robbie Ouzts","SEA","0.0","0.0","0.0","2.0","14.8","0.1","0.0","1.9"
"Carson Steele","PHI","0.0","12.0","0.0","1.0","7.0","0.0","0.0","1.9"
"Scott Matlock","LAC","0.0","0.0","0.0","2.2","14.7","0.1","0.0","1.9"
"Tyler Badie","DEN","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Cam Akers","SEA","0.0","10.5","0.0","0.5","3.0","0.0","0.0","1.4"
"Keilan Robinson","NYJ","0.0","4.0","0.0","1.0","7.0","0.0","0.0","1.1"
